canal,tiempo_o_bache,productos_disponibles,producto_comprado
PRESENCIAL,961.732662911074,0;1;2;3;4,1
PRESENCIAL,961.9057761247301,0;1;2;3;4,2
PRESENCIAL,962.5615576889882,0;1;2;3;4,3
PRESENCIAL,971.8067158044486,0;1;2;3;4,3
PRESENCIAL,973.7274885253163,0;1;2;3;4,1
PRESENCIAL,975.3771879693502,0;1;2;3;4,4
PRESENCIAL,982.0309201701106,0;1;2;3;4,4
PRESENCIAL,982.733437277791,0;1;2;3;4,2
PRESENCIAL,983.9567462227517,0;1;2;3;4,3
PRESENCIAL,998.2401359608517,0;1;2;3;4,2
PRESENCIAL,998.2621691178167,0;1;2;3;4,3
PRESENCIAL,1013.9157207025441,0;1;2;3;4,1
PRESENCIAL,1020.3120241805996,0;1;2;3;4,1
PRESENCIAL,1024.3710857507988,0;1;2;3;4,3
PRESENCIAL,1032.6367138857916,0;1;2;3;4,1
PRESENCIAL,1037.187090392736,0;1;2;3;4,4
PRESENCIAL,1038.530892328838,0;1;2;3;4,1
PRESENCIAL,1049.3996374188512,0;1;2;3;4,1
PRESENCIAL,1051.0285443664282,0;1;2;3;4,3
PRESENCIAL,1053.7574956734345,0;1;2;3;4,3
PRESENCIAL,1059.8379320099725,0;1;2;3;4,4
PRESENCIAL,1066.287616820378,0;1;2;3;4,2
PRESENCIAL,1070.0431162615296,0;1;2;3;4,1
PRESENCIAL,1073.155625275311,0;1;2;3;4,4
PRESENCIAL,1073.3934470738595,0;1;2;3;4,1
PRESENCIAL,1077.1098855376727,0;1;2;3;4,2
PRESENCIAL,1091.889901634131,0;1;2;3;4,2
PRESENCIAL,1093.7508472982836,0;1;2;3;4,3
PRESENCIAL,1095.5945458682384,0;1;2;3;4,3
PRESENCIAL,1096.2451969194706,0;1;2;3;4,2
PRESENCIAL,1101.1851232067722,0;1;2;3;4,2
PRESENCIAL,1102.9235831107048,0;1;2;3;4,1
PRESENCIAL,1105.9390793341797,0;1;2;3;4,2
PRESENCIAL,1107.9692968942234,0;1;2;3;4,1
PRESENCIAL,1111.779285256842,0;1;2;3;4,2
PRESENCIAL,1112.1635683878944,0;1;2;3;4,3
PRESENCIAL,1113.7938907843227,0;1;2;3;4,1
PRESENCIAL,1117.3195111708908,0;1;2;3;4,1
